Decyzja Klasyfikacyjna;Artykuł Skazania;Korzyść majątkowa;środki odurzające;wiek obecnie;wiek w czasie popełnienia czynu;długośćwykonywanej kary;pozostały okres kary;stan cywilny;dzieci;miejsce przebywania rodziny;wykształcenie;liczba telefonów;telefony po zmianach;korespondencja;widzenia;przepustki losowe;przepustki w formie nagrody;przepustki regulaminowe;inne formy kontaktu;szczepienie;miejsce szczepienia;kompensacja widzeń ;kompensacja długością telefonów;kontakt z obrońcą;częstsza korespondencja;poczucie bezpieczeństwa;działania administracji;;Zakład
R2;244;C - NIE;C - NIE;C - 31-40;C - 31-40;D - 2 lata i 1 mc - 6 lat;D - 2 lata i 1 mc - 6 lat;F - wolny;F - 5 i więcej;A - w mieście;G - średnie;A - racz. Codziennie;B - tyle sam;C - rzadziej;E - trzy razy w mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;B - poza ZK;;;;;;;;2
R2P;280§1;B - TAK;B - TAK;E - >51;D - 41 - 50;C - 1 rok i 1 mc - 2 lata;C - 1 rok i 1 mc - 2 lata;B - rozwiedziony;B - 1;B - okolice zakł. Maks 30 km;D - zasadn. Zawodowe;C - parę w mc.;B - tyle sam;D - raczej nie;B - raz na kilka mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;B - poza ZK;;;;;;;;2
R2;280;C - NIE;C - NIE;E - >51;D - 41 - 50;C - 1 rok i 1 mc - 2 lata;C - 1 rok i 1 mc - 2 lata;F - wolny;A -  0 ;NA CMENTARZU;D - zasadn. Zawodowe;E - raczej nie;C - rzadziej;D - raczej nie;B - raz na kilka mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;B - poza ZK;;;;;;;;2
R2P;;A - WOLĘ NIE ODP.;A - WOLĘ NIE ODP. ;C - 31-40;C - 31-40;B - 7 mc - 1 rok;B - 7 mc - 1 rok;B - rozwiedziony;B - 1;A - w mieście;F - średnie branżowe;B - parę w tyg.;B - tyle sam;C - rzadziej;B - raz na kilka mc;A - 0;A - 0;A - 0;D - telewizja, radio..;B - nie;;;;;;;;;2
R2P;;B - TAK;C - NIE;D - 41 - 50;D - 41 - 50;D - 2 lata i 1 mc - 6 lat;D - 2 lata i 1 mc - 6 lat;A - zw. małżeński;C - 2;C - 30-100 km;E - zasadn. Branżowe;D - rzadziej;B - tyle sam;B - parę w mc;C - raz w mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;B - poza ZK;;;;;;;;2
R2D;;A - WOLĘ NIE ODP.;A - WOLĘ NIE ODP. ;B - 22-30;B - 22-30;C - 1 rok i 1 mc - 2 lata;C - 1 rok i 1 mc - 2 lata;A - zw. małżeński;C - 2;C - 30-100 km;F - średnie branżowe;B - parę w tyg.;B - tyle sam;C - rzadziej;C - raz w mc;A - 0;A - 0;A - 0;D - telewizja, radio..;B - nie;;;;;;;;;2
R2P;;B - TAK;B - TAK;B - 22-30;B - 22-30;D - 2 lata i 1 mc - 6 lat;D - 2 lata i 1 mc - 6 lat;B - rozwiedziony;D - 3;D - pow. 100 km;D - zasadn. Zawodowe;A - racz. Codziennie;A - częściej;C - rzadziej;D - dwa razy w mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;B - poza ZK;;;;;;;;2
R2Z;;C - NIE;C - NIE;C - 31-40;B - 22-30;A - 1- 6 mc;A - 1- 6 mc;A - zw. małżeński;B - 1;A - w mieście;D - zasadn. Zawodowe;B - parę w tyg.;B - tyle sam;C - rzadziej;B - raz na kilka mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;;;;;;;;2
R2;62§1 UOPN;B - TAK;C - NIE;B - 22-30;B - 22-30;D - 2 lata i 1 mc - 6 lat;D - 2 lata i 1 mc - 6 lat;E - w związku partnerskim;A -  0 ;B - okolice zakł. Maks 30 km;C - gimnazjalne;A - racz. Codziennie;B - tyle sam;D - raczej nie;D - dwa razy w mc;A - 0;A - 0;A - 0;D - telewizja, radio..;B - nie;;;;;;;;;2
R2P;;B - TAK;C - NIE;D - 41 - 50;D - 41 - 50;C - 1 rok i 1 mc - 2 lata;C - 1 rok i 1 mc - 2 lata;B - rozwiedziony;B - 1;D - pow. 100 km;G - średnie;C - parę w mc.;B - tyle sam;C - rzadziej;A - raczej nie;A - 0;A - 0;A - 0;D - telewizja, radio..;B - nie;;;;;;;;;2
